,track_id,track_pollen_score,track_shape,track_event,track_tagid,track_hastag,track_startframe,track_startx,track_starty,track_starta,track_endframe,track_endx,track_endy,track_enda,track_length,datetime,track_starttime,track_endtime,pollen,entering,leaving,entering_leaving,walking,video_name,labelbee_videoid,video_filename,video_seq
4242,4242,1.8017432461547856e-07,noise,,1652,True,11026,1612,956,176.42366562500266,11030,1680,1124,197.87869659584132,5,2017-06-21 08:09:11.300,2017-06-21 08:09:11.300,2017-06-21 08:09:11.500,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
4482,4482,0.0007338130094328,outside,,677,True,11697,636,860,189.6598930784423,11706,576,1120,168.02386755579664,10,2017-06-21 08:09:44.850,2017-06-21 08:09:44.850,2017-06-21 08:09:45.300,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
4552,4552,0.0001896300961538,inside_inside,walking,1609,True,11881,1468,156,168.40782458970895,11973,1540,60,358.2642954110716,93,2017-06-21 08:09:54.050,2017-06-21 08:09:54.050,2017-06-21 08:09:58.650,False,False,False,False,True,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
4762,4762,1.754040359476979e-06,noise,,1109,True,12390,1452,808,6.788974574438791,12392,1452,712,352.6942404666892,3,2017-06-21 08:10:19.500,2017-06-21 08:10:19.500,2017-06-21 08:10:19.600,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
4901,4901,0.0008883074387808,ramp_outside,leaving,1621,True,12677,1868,536,194.34933204294717,12695,1816,1052,178.53119928561418,19,2017-06-21 08:10:33.850,2017-06-21 08:10:33.850,2017-06-21 08:10:34.750,False,False,True,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
5216,5216,3.265746004648936e-05,inside_ramp,,197,True,13686,668,244,167.98852161363456,13693,712,672,171.2538377374448,8,2017-06-21 08:11:24.300,2017-06-21 08:11:24.300,2017-06-21 08:11:24.650,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
6655,6655,0.0115087656400163,inside_out,leaving,1786,True,17069,484,152,193.3245312618908,17092,632,960,160.3461759419467,24,2017-06-21 08:14:13.450,2017-06-21 08:14:13.450,2017-06-21 08:14:14.600,False,False,True,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
8745,8745,3.1967775324481e-05,outside_inside,entering,1237,True,22650,576,1020,12.0947570770121,22682,548,252,318.1221304621157,33,2017-06-21 08:18:52.500,2017-06-21 08:18:52.500,2017-06-21 08:18:54.100,False,True,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
8764,8764,0.000941108674624,inside,,1237,True,22689,516,216,357.70938995736145,22696,472,32,20.556045219583467,8,2017-06-21 08:18:54.450,2017-06-21 08:18:54.450,2017-06-21 08:18:54.800,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
9558,9558,8.401912974242975e-06,noise,,638,True,24445,656,964,208.6104596659652,24447,728,1104,207.82409638425327,3,2017-06-21 08:20:22.250,2017-06-21 08:20:22.250,2017-06-21 08:20:22.350,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
11844,11844,0.0099945841429871,noise,,1621,True,29761,988,728,14.420773127510984,29764,956,544,11.592175410291071,4,2017-06-21 08:24:48.050,2017-06-21 08:24:48.050,2017-06-21 08:24:48.200,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
11845,11845,0.083803500830254,noise,,1621,True,29765,928,408,10.007979801441335,29769,936,60,356.4236656250026,5,2017-06-21 08:24:48.250,2017-06-21 08:24:48.250,2017-06-21 08:24:48.450,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
